batch_ewes,interval_days,base_ewes,rams,annual_output,max_pens,mean_pens,utilization,feasible_112_pens
252,21,2748,55,8568.0,711.0,708.435616,6.325318,False
259,21,2825,57,8806.0,732.0,729.386301,6.512378,False
266,21,2901,59,9044.0,750.0,747.386301,6.673092,False
273,21,2977,60,9282.0,770.0,767.290411,6.850807,False
280,21,3054,62,9520.0,790.0,787.19726,7.028547,False
14,22,146,3,476.0,41.0,39.093151,0.349046,True
21,22,219,5,714.0,61.0,58.139726,0.519105,True
28,22,292,6,952.0,80.0,76.10411,0.679501,True
35,22,365,8,1190.0,101.0,96.183562,0.858782,True
42,22,438,9,1428.0,119.0,113.416438,1.012647,False
49,22,511,11,1666.0,140.0,133.369863,1.190802,False
56,22,583,12,1904.0,158.0,150.509589,1.343836,False
63,22,656,14,2142.0,180.0,171.463014,1.53092,False
70,22,729,15,2380.0,199.0,189.427397,1.691316,False
77,22,802,17,2618.0,219.0,208.473973,1.861375,False
84,22,875,18,2856.0,237.0,225.613699,2.014408,False
91,22,948,19,3094.0,258.0,245.786301,2.194521,False
98,22,1021,21,3332.0,277.0,263.926027,2.356482,False
105,22,1093,22,3570.0,297.0,282.879452,2.525709,False
112,22,1166,24,3808.0,316.0,300.843836,2.686106,False
119,22,1239,25,4046.0,337.0,320.890411,2.865093,False
126,22,1312,27,4284.0,356.0,338.936986,3.026223,False
133,22,1385,28,4522.0,377.0,358.890411,3.204379,False
140,22,1458,30,4760.0,395.0,376.123288,3.358244,False
147,22,1531,31,4998.0,415.0,395.29589,3.529428,False
154,22,1603,33,5236.0,435.0,414.260274,3.698752,False
161,22,1676,34,5474.0,455.0,433.213699,3.867979,False
168,22,1749,35,5712.0,473.0,450.353425,4.021013,False
175,22,1822,37,5950.0,495.0,471.4,4.208929,False
182,22,1895,38,6188.0,514.0,489.446575,4.370059,False
189,22,1968,40,6426.0,534.0,508.4,4.539286,False
196,22,2041,41,6664.0,553.0,526.457534,4.700514,False
203,22,2114,43,6902.0,573.0,545.630137,4.871698,False
210,22,2186,44,7140.0,592.0,563.676712,5.032828,False
217,22,2259,46,7378.0,613.0,583.723288,5.211815,False
224,22,2332,47,7616.0,631.0,600.863014,5.364848,False
231,22,2405,49,7854.0,652.0,620.909589,5.543836,False
238,22,2478,50,8092.0,672.0,639.780822,5.712329,False
245,22,2551,52,8330.0,692.0,658.734247,5.881556,False
252,22,2624,53,8568.0,710.0,675.967123,6.035421,False
259,22,2696,54,8806.0,731.0,696.139726,6.215533,False
266,22,2769,56,9044.0,750.0,714.186301,6.376663,False
273,22,2842,57,9282.0,770.0,733.232877,6.546722,False
280,22,2915,59,9520.0,789.0,751.19726,6.707118,False
14,23,140,3,448.0,39.0,37.438356,0.334271,True
21,23,210,5,672.0,58.0,55.657534,0.496942,True
28,23,279,6,896.0,75.0,72.745205,0.649511,True
35,23,349,7,1120.0,94.0,91.350685,0.815631,True
42,23,419,9,1344.0,112.0,108.70137,0.970548,True
49,23,488,10,1568.0,132.0,127.789041,1.140974,False
56,23,558,12,1792.0,149.0,144.139726,1.286962,False
63,23,628,13,2016.0,169.0,163.358904,1.458562,False
70,23,697,14,2240.0,187.0,181.315068,1.618885,False
77,23,767,16,2464.0,206.0,199.40274,1.780382,False
84,23,837,17,2688.0,223.0,215.884932,1.927544,False
91,23,907,19,2912.0,243.0,235.490411,2.102593,False
98,23,976,20,3136.0,261.0,252.709589,2.256336,False
105,23,1046,21,3360.0,280.0,270.928767,2.419007,False
112,23,1116,23,3584.0,297.0,288.016438,2.571575,False
119,23,1185,24,3808.0,317.0,307.10411,2.742001,False
126,23,1255,26,4032.0,335.0,324.454795,2.896918,False
133,23,1325,27,4256.0,355.0,343.542466,3.067343,False
140,23,1394,28,4480.0,372.0,359.893151,3.213332,False
147,23,1464,30,4704.0,391.0,378.630137,3.380626,False
154,23,1534,31,4928.0,408.0,395.717808,3.533195,False
161,23,1603,33,5152.0,428.0,414.805479,3.70362,False
168,23,1673,34,5376.0,445.0,431.156164,3.849609,False
175,23,1743,35,5600.0,466.0,451.243836,4.028963,False
182,23,1813,37,5824.0,483.0,467.726027,4.176125,False
189,23,1882,38,6048.0,502.0,485.813699,4.337622,False
196,23,1952,40,6272.0,520.0,503.769863,4.497945,False
203,23,2022,41,6496.0,539.0,522.506849,4.66524,False
210,23,2091,42,6720.0,556.0,538.857534,4.811228,False
217,23,2161,44,6944.0,576.0,557.945205,4.981654,False
224,23,2231,45,7168.0,594.0,575.29589,5.13657,False
231,23,2300,46,7392.0,614.0,594.383562,5.306996,False
238,23,2370,48,7616.0,631.0,611.471233,5.459565,False
245,23,2440,49,7840.0,650.0,629.690411,5.622236,False
252,23,2510,51,8064.0,668.0,646.909589,5.775978,False
259,23,2579,52,8288.0,688.0,666.515068,5.951027,False
266,23,2649,53,8512.0,705.0,682.99726,6.09819,False
273,23,2719,55,8736.0,724.0,701.084932,6.259687,False
280,23,2788,56,8960.0,741.0,718.172603,6.412255,False
14,24,134,3,420.0,37.0,35.931507,0.320817,True
21,24,201,5,630.0,55.0,53.39726,0.476761,True
28,24,268,6,840.0,72.0,69.69863,0.622309,True
35,24,334,7,1050.0,91.0,87.794521,0.78388,True
42,24,401,9,1260.0,108.0,104.424658,0.932363,True
49,24,468,10,1470.0,127.0,122.726027,1.095768,False
56,24,535,11,1680.0,143.0,138.356164,1.235323,False
63,24,602,13,1890.0,162.0,156.821918,1.400196,False
70,24,668,14,2100.0,180.0,173.958904,1.553205,False
77,24,735,15,2310.0,198.0,191.260274,1.707681,False
84,24,802,17,2520.0,214.0,207.054795,1.848704,False
91,24,869,18,2730.0,234.0,226.150685,2.019203,False
98,24,936,19,2940.0,250.0,241.780822,2.158757,False
105,24,1002,21,3150.0,269.0,260.082192,2.322162,False
112,24,1069,22,3360.0,286.0,276.383562,2.46771,False
119,24,1136,23,3570.0,305.0,294.684932,2.631115,False
126,24,1203,25,3780.0,321.0,310.479452,2.772138,False
133,24,1270,26,3990.0,340.0,328.780822,2.935543,False
140,24,1336,27,4200.0,357.0,345.246575,3.082559,False
147,24,1403,29,4410.0,376.0,363.506849,3.245597,False
154,24,1470,30,4620.0,393.0,379.808219,3.391145,False
161,24,1537,31,4830.0,411.0,397.109589,3.545621,False
168,24,1603,33,5040.0,428.0,413.739726,3.694105,False
175,24,1670,34,5250.0,448.0,433.041096,3.866438,False
182,24,1737,35,5460.0,464.0,448.671233,4.005993,False
189,24,1804,37,5670.0,482.0,466.136986,4.161937,False
196,24,1871,38,5880.0,499.0,482.438356,4.307485,False
203,24,1937,39,6090.0,518.0,500.534247,4.469056,False
210,24,2004,41,6300.0,535.0,517.164384,4.617539,False
217,24,2071,42,6510.0,554.0,535.465753,4.780944,False
224,24,2138,43,6720.0,570.0,551.09589,4.920499,False
231,24,2205,45,6930.0,589.0,569.561644,5.085372,False
238,24,2271,46,7140.0,607.0,586.69863,5.238381,False
245,24,2338,47,7350.0,625.0,604.0,5.392857,False
252,24,2405,49,7560.0,641.0,619.794521,5.53388,False
259,24,2472,50,7770.0,661.0,638.890411,5.704379,False
266,24,2539,51,7980.0,677.0,654.520548,5.843933,False
273,24,2605,53,8190.0,696.0,672.821918,6.007339,False
280,24,2672,54,8400.0,713.0,689.123288,6.152886,False
14,25,129,3,420.0,35.0,34.523288,0.308244,True
21,25,193,4,630.0,52.0,51.128767,0.456507,True
28,25,257,6,840.0,68.0,66.868493,0.59704,True
35,25,321,7,1050.0,86.0,84.391781,0.753498,True
42,25,385,8,1260.0,102.0,100.2,0.894643,True
49,25,449,9,1470.0,120.0,117.956164,1.05318,False
56,25,513,11,1680.0,135.0,132.915068,1.186742,False
63,25,578,12,1890.0,153.0,150.479452,1.343567,False
70,25,642,13,2100.0,169.0,166.219178,1.4841,False
77,25,706,15,2310.0,187.0,183.632877,1.639579,False
84,25,770,16,2520.0,202.0,198.591781,1.773141,False
91,25,834,17,2730.0,221.0,217.306849,1.94024,False
98,25,898,18,2940.0,236.0,232.306849,2.074168,False
105,25,962,20,3150.0,253.0,248.871233,2.222065,False
112,25,1026,21,3360.0,270.0,265.419178,2.369814,False
119,25,1091,22,3570.0,288.0,282.983562,2.526639,False
126,25,1155,24,3780.0,303.0,297.942466,2.660201,False
133,25,1219,25,3990.0,321.0,315.739726,2.819105,False
140,25,1283,26,4200.0,336.0,330.69863,2.952666,False
147,25,1347,27,4410.0,354.0,348.221918,3.109124,False
154,25,1411,29,4620.0,371.0,364.810959,3.257241,False
161,25,1475,30,4830.0,388.0,381.375342,3.405137,False
168,25,1539,31,5040.0,403.0,396.334247,3.538699,False
175,25,1603,33,5250.0,422.0,415.090411,3.706164,False
182,25,1668,34,5460.0,438.0,430.857534,3.846942,False
189,25,1732,35,5670.0,455.0,447.463014,3.995205,False
196,25,1796,36,5880.0,471.0,463.010959,4.134026,False
203,25,1860,38,6090.0,489.0,480.726027,4.292197,False
210,25,1924,39,6300.0,504.0,495.726027,4.426125,False
217,25,1988,40,6510.0,522.0,513.290411,4.58295,False
224,25,2052,42,6720.0,538.0,529.249315,4.72544,False
231,25,2116,43,6930.0,556.0,546.813699,4.882265,False
238,25,2181,44,7140.0,572.0,562.361644,5.021086,False
245,25,2245,45,7350.0,589.0,579.158904,5.171062,False
252,25,2309,47,7560.0,605.0,594.926027,5.31184,False
259,25,2373,48,7770.0,624.0,613.449315,5.477226,False
266,25,2437,49,7980.0,639.0,628.641096,5.612867,False
273,25,2501,51,8190.0,656.0,645.205479,5.760763,False
280,25,2565,52,8400.0,672.0,660.753425,5.899584,False
14,26,124,3,392.0,35.0,33.230137,0.296698,True
21,26,185,4,588.0,52.0,49.383562,0.440925,True
28,26,247,5,784.0,67.0,64.49589,0.575856,True
35,26,309,7,980.0,85.0,81.112329,0.724217,True
42,26,370,8,1176.0,101.0,96.49589,0.86157,True
49,26,432,9,1372.0,119.0,113.610959,1.014384,False
56,26,494,10,1568.0,134.0,127.956164,1.142466,False
63,26,555,12,1764.0,152.0,144.841096,1.293224,False
70,26,617,13,1960.0,167.0,159.953425,1.428156,False
77,26,679,14,2156.0,184.0,176.106849,1.572383,False
84,26,740,15,2352.0,200.0,191.221918,1.707339,False
91,26,802,17,2548.0,219.0,209.068493,1.866683,False
98,26,864,18,2744.0,234.0,223.682192,1.997162,False
105,26,925,19,2940.0,251.0,239.567123,2.138992,False
112,26,987,20,3136.0,266.0,254.449315,2.271869,False
119,26,1049,21,3332.0,284.0,271.564384,2.424682,False
126,26,1110,23,3528.0,300.0,286.679452,2.559638,False
133,26,1172,24,3724.0,318.0,303.832877,2.712794,False
140,26,1234,25,3920.0,333.0,318.408219,2.842931,False
147,26,1295,26,4116.0,351.0,335.024658,2.991292,False
154,26,1357,28,4312.0,367.0,350.945205,3.133439,False
161,26,1419,29,4508.0,384.0,367.060274,3.277324,False
168,26,1480,30,4704.0,399.0,381.405479,3.405406,False
175,26,1542,31,4900.0,418.0,399.290411,3.565093,False
182,26,1603,33,5096.0,433.0,413.865753,3.69523,False
189,26,1665,34,5292.0,450.0,430.019178,3.839457,False
196,26,1727,35,5488.0,466.0,445.671233,3.979207,False
203,26,1788,36,5684.0,484.0,462.287671,4.127568,False
210,26,1850,37,5880.0,499.0,477.131507,4.260103,False
217,26,1912,39,6076.0,517.0,494.016438,4.410861,False
224,26,1973,40,6272.0,532.0,508.361644,4.538943,False
231,26,2035,41,6468.0,550.0,525.476712,4.691756,False
238,26,2097,42,6664.0,566.0,541.128767,4.831507,False
245,26,2158,44,6860.0,583.0,557.282192,4.975734,False
252,26,2220,45,7056.0,598.0,571.857534,5.105871,False
259,26,2282,46,7252.0,617.0,589.473973,5.26316,False
266,26,2343,47,7448.0,632.0,604.087671,5.39364,False
273,26,2405,49,7644.0,650.0,620.972603,5.544398,False
280,26,2467,50,7840.0,665.0,635.854795,5.677275,False
14,27,119,3,364.0,33.0,32.013699,0.285837,True
21,27,179,4,546.0,50.0,47.731507,0.426174,True
28,27,238,5,728.0,65.0,62.249315,0.555797,True
35,27,297,6,910.0,81.0,78.013699,0.696551,True
42,27,357,8,1092.0,97.0,92.994521,0.830308,True
49,27,416,9,1274.0,114.0,109.50411,0.977715,False
56,27,475,10,1456.0,128.0,123.276712,1.100685,False
63,27,535,11,1638.0,145.0,139.517808,1.245695,False
70,27,594,12,1820.0,160.0,153.767123,1.372921,False
77,27,654,14,2002.0,177.0,169.753425,1.515656,False
84,27,713,15,2184.0,192.0,184.257534,1.645157,False
91,27,772,16,2366.0,209.0,201.021918,1.794839,False
98,27,832,17,2548.0,224.0,215.539726,1.924462,False
105,27,891,18,2730.0,240.0,230.780822,2.060543,False
112,27,950,19,2912.0,255.0,245.030137,2.187769,False
119,27,1010,21,3094.0,272.0,261.539726,2.335176,False
126,27,1069,22,3276.0,287.0,276.043836,2.464677,False
133,27,1129,23,3458.0,305.0,292.761644,2.613943,False
140,27,1188,24,3640.0,319.0,306.534247,2.736913,False
147,27,1247,25,3822.0,335.0,322.567123,2.880064,False
154,27,1307,27,4004.0,351.0,337.293151,3.011546,False
161,27,1366,28,4186.0,367.0,352.534247,3.147627,False
168,27,1425,29,4368.0,382.0,367.306849,3.279525,False
175,27,1485,30,4550.0,400.0,384.547945,3.433464,False
182,27,1544,31,4732.0,414.0,398.320548,3.556433,False
189,27,1603,33,4914.0,431.0,414.306849,3.699168,False
196,27,1663,34,5096.0,446.0,428.556164,3.826394,False
203,27,1722,35,5278.0,462.0,444.320548,3.967148,False
210,27,1782,36,5460.0,478.0,459.30137,4.100905,False
217,27,1841,37,5642.0,495.0,475.810959,4.248312,False
224,27,1900,38,5824.0,509.0,489.583562,4.371282,False
231,27,1960,40,6006.0,526.0,505.824658,4.516292,False
238,27,2019,41,6188.0,541.0,520.342466,4.645915,False
245,27,2078,42,6370.0,558.0,536.060274,4.786252,False
252,27,2138,43,6552.0,573.0,550.564384,4.915753,False
259,27,2197,44,6734.0,590.0,567.328767,5.065435,False
266,27,2257,46,6916.0,605.0,581.846575,5.195059,False
273,27,2316,47,7098.0,621.0,597.087671,5.33114,False
280,27,2375,48,7280.0,636.0,611.336986,5.458366,False
14,28,115,3,364.0,32.0,30.931507,0.276174,True
21,28,172,4,546.0,47.0,46.287671,0.413283,True
28,28,229,5,728.0,62.0,60.254795,0.537989,True
35,28,287,6,910.0,78.0,75.257534,0.671942,True
42,28,344,7,1092.0,92.0,89.186301,0.796306,True
49,28,401,9,1274.0,109.0,105.865753,0.94523,True
56,28,458,10,1456.0,123.0,119.117808,1.063552,False
63,28,516,11,1638.0,139.0,134.79726,1.203547,False
70,28,573,12,1820.0,153.0,148.476712,1.325685,False
77,28,630,13,2002.0,169.0,164.120548,1.465362,False
84,28,687,14,2184.0,183.0,177.372603,1.583684,False
91,28,745,15,2366.0,200.0,193.375342,1.726566,False
98,28,802,17,2548.0,215.0,208.30411,1.859858,False
105,28,859,18,2730.0,230.0,222.983562,1.990925,False
112,28,916,19,2912.0,244.0,236.663014,2.113063,False
119,28,974,20,3094.0,260.0,252.342466,2.253058,False
126,28,1031,21,3276.0,275.0,265.882192,2.373948,False
133,28,1088,22,3458.0,291.0,282.238356,2.519985,False
140,28,1145,23,3640.0,305.0,296.20274,2.644667,False
147,28,1203,25,3822.0,322.0,311.493151,2.781189,False
154,28,1260,26,4004.0,336.0,325.849315,2.909369,False
161,28,1317,27,4186.0,351.0,340.528767,3.040435,False
168,28,1374,28,4368.0,365.0,353.780822,3.158757,False
175,28,1432,29,4550.0,383.0,370.747945,3.31025,False
182,28,1489,30,4732.0,397.0,384.712329,3.434932,False
189,28,1546,31,4914.0,412.0,400.068493,3.57204,False
196,28,1603,33,5096.0,427.0,414.035616,3.696747,False
203,28,1661,34,5278.0,443.0,429.038356,3.8307,False
210,28,1718,35,5460.0,457.0,442.967123,3.955064,False
217,28,1775,36,5642.0,473.0,458.646575,4.095059,False
224,28,1832,37,5824.0,488.0,472.89863,4.222309,False
231,28,1890,38,6006.0,504.0,488.578082,4.362304,False
238,28,1947,39,6188.0,518.0,502.257534,4.484442,False
245,28,2004,41,6370.0,534.0,517.90137,4.624119,False
252,28,2061,42,6552.0,548.0,531.153425,4.742441,False
259,28,2119,43,6734.0,565.0,547.156164,4.885323,False
266,28,2176,44,6916.0,579.0,561.79726,5.016047,False
273,28,2233,45,7098.0,595.0,576.764384,5.149682,False
280,28,2290,46,7280.0,609.0,590.443836,5.27182,False
14,29,111,3,364.0,31.0,29.876712,0.266756,True
21,29,166,4,546.0,47.0,44.860274,0.400538,True
28,29,222,5,728.0,60.0,58.306849,0.520597,True
35,29,277,6,910.0,75.0,72.575342,0.647994,True
42,29,332,7,1092.0,89.0,86.183562,0.769496,True
49,29,387,8,1274.0,105.0,101.309589,0.90455,True
56,29,443,9,1456.0,119.0,115.060274,1.027324,False
63,29,498,10,1638.0,135.0,130.186301,1.162378,False
70,29,553,12,1820.0,148.0,143.312329,1.279574,False
77,29,609,13,2002.0,164.0,158.616438,1.416218,False
84,29,664,14,2184.0,177.0,171.367123,1.530064,False
91,29,719,15,2366.0,193.0,186.635616,1.666389,False
98,29,774,16,2548.0,208.0,200.923288,1.793958,False
105,29,830,17,2730.0,223.0,215.369863,1.922945,False
112,29,885,18,2912.0,236.0,228.49589,2.040142,False
119,29,940,19,3094.0,252.0,243.621918,2.175196,False
126,29,995,20,3276.0,265.0,256.372603,2.289041,False
133,29,1051,22,3458.0,282.0,272.676712,2.434614,False
140,29,1106,23,3640.0,296.0,286.106849,2.554525,False
147,29,1161,24,3822.0,311.0,300.375342,2.681923,False
154,29,1217,25,4004.0,325.0,314.679452,2.809638,False
161,29,1272,26,4186.0,340.0,328.805479,2.935763,False
168,29,1327,27,4368.0,353.0,341.556164,3.049609,False
175,29,1382,28,4550.0,370.0,357.682192,3.193591,False
182,29,1438,29,4732.0,383.0,370.753425,3.310298,False
189,29,1493,30,4914.0,399.0,385.736986,3.44408,False
196,29,1548,31,5096.0,413.0,399.542466,3.567343,False
203,29,1603,33,5278.0,428.0,414.131507,3.697603,False
210,29,1659,34,5460.0,442.0,427.739726,3.819105,False
217,29,1714,35,5642.0,458.0,442.865753,3.954159,False
224,29,1769,36,5824.0,471.0,455.616438,4.068004,False
231,29,1825,37,6006.0,487.0,471.063014,4.20592,False
238,29,1880,38,6188.0,501.0,484.868493,4.329183,False
245,29,1935,39,6370.0,517.0,499.852055,4.462965,False
252,29,1990,40,6552.0,530.0,512.60274,4.57681,False
259,29,2046,41,6734.0,546.0,528.191781,4.715998,False
266,29,2101,43,6916.0,560.0,541.8,4.8375,False
273,29,2156,44,7098.0,575.0,555.926027,4.963625,False
280,29,2212,45,7280.0,589.0,570.052055,5.08975,False
14,30,107,3,336.0,29.0,28.934247,0.258341,True
21,30,161,4,504.0,44.0,43.572603,0.389041,True
28,30,214,5,672.0,58.0,56.526027,0.504697,True
35,30,268,6,840.0,71.0,70.19726,0.626761,True
42,30,321,7,1008.0,85.0,83.460274,0.745181,True
49,30,375,8,1176.0,99.0,98.131507,0.876174,True
56,30,428,9,1344.0,113.0,111.427397,0.994887,False
63,30,481,10,1512.0,127.0,126.065753,1.125587,False
70,30,535,11,1680.0,141.0,138.690411,1.238307,False
77,30,588,12,1848.0,155.0,153.328767,1.369007,False
84,30,642,13,2016.0,169.0,165.953425,1.481727,False
91,30,695,14,2184.0,183.0,180.624658,1.61272,False
98,30,749,15,2352.0,197.0,193.887671,1.73114,False
105,30,802,17,2520.0,211.0,208.558904,1.862133,False
112,30,855,18,2688.0,225.0,221.183562,1.974853,False
119,30,909,19,2856.0,239.0,235.821918,2.105553,False
126,30,962,20,3024.0,252.0,248.117808,2.215338,False
133,30,1016,21,3192.0,268.0,264.084932,2.357901,False
140,30,1069,22,3360.0,281.0,276.380822,2.467686,False
147,30,1123,23,3528.0,294.0,290.052055,2.58975,False
154,30,1176,24,3696.0,309.0,304.315068,2.717099,False
161,30,1229,25,3864.0,323.0,318.315068,2.842099,False
168,30,1283,26,4032.0,336.0,330.610959,2.951884,False
175,30,1336,27,4200.0,351.0,346.249315,3.091512,False
182,30,1390,28,4368.0,364.0,358.545205,3.201296,False
189,30,1443,29,4536.0,379.0,373.512329,3.334932,False
196,30,1497,30,4704.0,393.0,386.136986,3.447652,False
203,30,1550,31,4872.0,406.0,399.808219,3.569716,False
210,30,1603,33,5040.0,421.0,414.071233,3.697065,False
217,30,1657,34,5208.0,435.0,428.742466,3.828058,False
224,30,1710,35,5376.0,448.0,441.038356,3.937842,False
231,30,1764,36,5544.0,462.0,455.676712,4.068542,False
238,30,1817,37,5712.0,477.0,468.630137,4.184198,False
245,30,1871,38,5880.0,491.0,483.268493,4.314897,False
252,30,1924,39,6048.0,504.0,496.235616,4.430675,False
259,30,1978,40,6216.0,518.0,510.906849,4.561668,False
266,30,2031,41,6384.0,533.0,524.49863,4.683023,False
273,30,2084,42,6552.0,546.0,538.169863,4.805088,False
280,30,2138,43,6720.0,560.0,550.794521,4.917808,False
14,31,104,3,308.0,29.0,28.057534,0.250514,True
21,31,156,4,462.0,44.0,42.235616,0.377104,True
28,31,207,5,616.0,56.0,54.750685,0.488845,True
35,31,259,6,770.0,70.0,68.109589,0.608121,True
42,31,311,7,924.0,83.0,80.808219,0.721502,True
49,31,362,8,1078.0,98.0,95.167123,0.849706,True
56,31,414,9,1232.0,111.0,108.046575,0.964702,True
63,31,466,10,1386.0,126.0,122.224658,1.091292,False
70,31,518,11,1540.0,138.0,134.380822,1.199829,False
77,31,569,12,1694.0,153.0,148.558904,1.326419,False
84,31,621,13,1848.0,165.0,160.79726,1.43569,False
91,31,673,14,2002.0,180.0,175.156164,1.563894,False
98,31,724,15,2156.0,193.0,187.854795,1.677275,False
105,31,776,16,2310.0,207.0,201.213699,1.796551,False
112,31,828,17,2464.0,220.0,214.369863,1.914017,False
119,31,880,18,2618.0,235.0,228.547945,2.040607,False
126,31,931,19,2772.0,247.0,240.427397,2.146673,False
133,31,983,20,2926.0,263.0,255.605479,2.282192,False
140,31,1035,21,3080.0,275.0,267.843836,2.391463,False
147,31,1086,22,3234.0,289.0,281.20274,2.510739,False
154,31,1138,23,3388.0,302.0,294.178082,2.62659,False
161,31,1190,24,3542.0,316.0,307.536986,2.745866,False
168,31,1242,25,3696.0,329.0,320.416438,2.860861,False
175,31,1293,26,3850.0,345.0,335.594521,2.99638,False
182,31,1345,27,4004.0,357.0,347.473973,3.102446,False
189,31,1397,28,4158.0,372.0,361.652055,3.229036,False
196,31,1448,29,4312.0,384.0,374.167123,3.340778,False
203,31,1500,30,4466.0,398.0,387.526027,3.460054,False
210,31,1552,32,4620.0,412.0,400.865753,3.579159,False
217,31,1603,33,4774.0,427.0,415.583562,3.710568,False
224,31,1655,34,4928.0,439.0,427.463014,3.816634,False
231,31,1707,35,5082.0,454.0,441.641096,3.943224,False
238,31,1759,36,5236.0,466.0,453.79726,4.051761,False
245,31,1810,37,5390.0,481.0,468.334247,4.181556,False
252,31,1862,38,5544.0,493.0,480.213699,4.287622,False
259,31,1914,39,5698.0,508.0,494.572603,4.415827,False
266,31,1965,40,5852.0,522.0,507.912329,4.534932,False
273,31,2017,41,6006.0,536.0,521.630137,4.657412,False
280,31,2069,42,6160.0,548.0,533.786301,4.765949,False
14,32,101,3,308.0,29.0,27.191781,0.242784,True
21,32,151,4,462.0,44.0,40.912329,0.365289,True
28,32,201,5,616.0,56.0,53.013699,0.473337,True
35,32,251,6,770.0,70.0,66.082192,0.59002,True
42,32,301,7,924.0,83.0,78.205479,0.698263,True
49,32,351,8,1078.0,98.0,92.273973,0.823875,True
56,32,401,9,1232.0,111.0,104.745205,0.935225,True
63,32,451,10,1386.0,126.0,118.465753,1.05773,False
70,32,501,11,1540.0,138.0,130.186301,1.162378,False
77,32,552,12,1694.0,153.0,143.906849,1.284883,False
84,32,602,13,1848.0,165.0,155.758904,1.390705,False
91,32,652,14,2002.0,180.0,169.827397,1.516316,False
98,32,702,15,2156.0,193.0,181.950685,1.62456,False
105,32,752,16,2310.0,207.0,195.019178,1.741243,False
112,32,802,17,2464.0,220.0,207.739726,1.854819,False
119,32,852,18,2618.0,235.0,221.460274,1.977324,False
126,32,902,19,2772.0,247.0,232.931507,2.079746,False
133,32,952,20,2926.0,263.0,247.652055,2.211179,False
140,32,1002,21,3080.0,275.0,259.50411,2.317001,False
147,32,1052,22,3234.0,289.0,272.572603,2.433684,False
154,32,1103,23,3388.0,302.0,284.945205,2.544154,False
161,32,1153,24,3542.0,316.0,298.013699,2.660837,False
168,32,1203,25,3696.0,329.0,310.484932,2.772187,False
175,32,1253,26,3850.0,345.0,325.205479,2.90362,False
182,32,1303,27,4004.0,357.0,336.676712,3.006042,False
189,32,1353,28,4158.0,372.0,350.39726,3.128547,False
196,32,1403,29,4312.0,384.0,362.49863,3.236595,False
203,32,1453,30,4466.0,398.0,375.567123,3.353278,False
210,32,1503,31,4620.0,411.0,387.690411,3.461522,False
217,32,1553,32,4774.0,426.0,401.758904,3.587133,False
224,32,1603,33,4928.0,439.0,414.230137,3.698483,False
231,32,1654,34,5082.0,454.0,427.950685,3.820988,False
238,32,1704,35,5236.0,466.0,439.671233,3.925636,False
245,32,1754,36,5390.0,481.0,453.391781,4.048141,False
252,32,1804,37,5544.0,493.0,465.243836,4.153963,False
259,32,1854,38,5698.0,508.0,479.312329,4.279574,False
266,32,1904,39,5852.0,521.0,491.435616,4.387818,False
273,32,1954,40,6006.0,535.0,504.50411,4.504501,False
280,32,2004,41,6160.0,548.0,517.224658,4.618077,False
14,33,98,2,308.0,28.0,26.391781,0.235641,True
21,33,146,3,462.0,42.0,39.693151,0.354403,True
28,33,195,4,616.0,54.0,51.0,0.455357,True
35,33,243,5,770.0,68.0,64.180822,0.573043,True
42,33,292,6,924.0,81.0,75.783562,0.676639,True
49,33,341,7,1078.0,95.0,89.572603,0.799755,True
56,33,389,8,1232.0,107.0,100.663014,0.898777,True
63,33,438,9,1386.0,122.0,114.356164,1.021037,False
70,33,486,10,1540.0,134.0,126.271233,1.127422,False
77,33,535,11,1694.0,148.0,139.572603,1.246184,False
84,33,583,12,1848.0,160.0,150.663014,1.345205,False
91,33,632,13,2002.0,175.0,164.843836,1.47182,False
98,33,681,14,2156.0,188.0,176.446575,1.575416,False
105,33,729,15,2310.0,201.0,189.235616,1.689604,False
112,33,778,16,2464.0,213.0,200.542466,1.790558,False
119,33,826,17,2618.0,228.0,214.235616,1.912818,False
126,33,875,18,2772.0,240.0,225.934247,2.01727,False
133,33,923,19,2926.0,255.0,240.235616,2.144961,False
140,33,972,20,3080.0,267.0,251.326027,2.243982,False
147,33,1021,21,3234.0,281.0,264.506849,2.361668,False
154,33,1069,22,3388.0,294.0,276.326027,2.467197,False
161,33,1118,23,3542.0,307.0,289.115068,2.581385,False
168,33,1166,24,3696.0,319.0,300.205479,2.680406,False
175,33,1215,25,3850.0,335.0,314.89863,2.811595,False
182,33,1263,26,4004.0,347.0,326.59726,2.916047,False
189,33,1312,27,4158.0,361.0,339.89863,3.034809,False
196,33,1361,28,4312.0,373.0,351.205479,3.135763,False
203,33,1409,29,4466.0,387.0,364.386301,3.253449,False
210,33,1458,30,4620.0,400.0,375.989041,3.357045,False
217,33,1506,31,4774.0,414.0,389.778082,3.480161,False
224,33,1555,32,4928.0,426.0,400.868493,3.579183,False
231,33,1603,33,5082.0,441.0,414.561644,3.701443,False
238,33,1652,34,5236.0,453.0,426.476712,3.807828,False
245,33,1701,35,5390.0,467.0,439.778082,3.92659,False
252,33,1749,35,5544.0,479.0,450.868493,4.025612,False
259,33,1798,36,5698.0,493.0,464.657534,4.148728,False
266,33,1846,37,5852.0,507.0,476.652055,4.255822,False
273,33,1895,38,6006.0,520.0,489.441096,4.37001,False
280,33,1944,39,6160.0,532.0,500.747945,4.470964,False
