date,crew,task,turbines,work_flag
2015-08-02,B组,值班,,1
2015-08-02,C组,维护,33,1
2015-08-02,D组,维护,34,1
2015-08-03,A组,维护,35,1
2015-08-03,B组,维护,36,1
2015-08-03,C组,值班,,1
2015-08-03,D组,休息,,0
2015-08-04,A组,维护,35,1
2015-08-04,B组,维护,36,1
2015-08-04,C组,休息,,0
2015-08-04,D组,值班,,1
2015-08-05,A组,值班,,1
2015-08-05,B组,休息,,0
2015-08-05,C组,维护,37,1
2015-08-05,D组,维护,38,1
2015-08-06,A组,休息,,0
2015-08-06,B组,值班,,1
2015-08-06,C组,维护,37,1
2015-08-06,D组,维护,38,1
2015-08-07,A组,维护,39,1
2015-08-07,B组,维护,40,1
2015-08-07,C组,值班,,1
2015-08-07,D组,休息,,0
2015-08-08,A组,维护,39,1
2015-08-08,B组,维护,40,1
2015-08-08,C组,休息,,0
2015-08-08,D组,值班,,1
2015-08-09,A组,值班,,1
2015-08-09,B组,休息,,0
2015-08-09,C组,维护,41,1
2015-08-09,D组,维护,42,1
2015-08-10,A组,休息,,0
2015-08-10,B组,值班,,1
2015-08-10,C组,维护,41,1
2015-08-10,D组,维护,42,1
2015-08-11,A组,维护,43,1
2015-08-11,B组,维护,44,1
2015-08-11,C组,值班,,1
2015-08-11,D组,休息,,0
2015-08-12,A组,维护,43,1
2015-08-12,B组,维护,44,1
2015-08-12,C组,休息,,0
2015-08-12,D组,值班,,1
2015-08-13,A组,值班,,1
2015-08-13,B组,休息,,0
2015-08-13,C组,维护,45,1
2015-08-13,D组,维护,46,1
2015-08-14,A组,休息,,0
2015-08-14,B组,值班,,1
2015-08-14,C组,维护,45,1
2015-08-14,D组,维护,46,1
2015-08-15,A组,维护,47,1
2015-08-15,B组,维护,48,1
2015-08-15,C组,值班,,1
2015-08-15,D组,休息,,0
2015-08-16,A组,维护,47,1
2015-08-16,B组,维护,48,1
2015-08-16,C组,休息,,0
2015-08-16,D组,值班,,1
2015-08-17,A组,值班,,1
2015-08-17,B组,休息,,0
2015-08-17,C组,维护,49,1
2015-08-17,D组,维护,50,1
2015-08-18,A组,休息,,0
2015-08-18,B组,值班,,1
2015-08-18,C组,维护,49,1
2015-08-18,D组,维护,50,1
2015-08-19,A组,维护,51,1
2015-08-19,B组,维护,52,1
2015-08-19,C组,值班,,1
2015-08-19,D组,休息,,0
2015-08-20,A组,维护,51,1
2015-08-20,B组,维护,52,1
2015-08-20,C组,休息,,0
2015-08-20,D组,值班,,1
2015-08-21,A组,值班,,1
2015-08-21,B组,休息,,0
2015-08-21,C组,维护,53,1
2015-08-21,D组,维护,54,1
2015-08-22,A组,休息,,0
2015-08-22,B组,值班,,1
2015-08-22,C组,维护,53,1
2015-08-22,D组,维护,54,1
2015-08-23,A组,维护,55,1
2015-08-23,B组,维护,56,1
2015-08-23,C组,值班,,1
2015-08-23,D组,休息,,0
2015-08-24,A组,维护,55,1
2015-08-24,B组,维护,56,1
2015-08-24,C组,休息,,0
2015-08-24,D组,值班,,1
2015-08-25,A组,值班,,1
2015-08-25,B组,休息,,0
2015-08-25,C组,维护,57,1
2015-08-25,D组,维护,58,1
2015-08-26,A组,休息,,0
2015-08-26,B组,值班,,1
2015-08-26,C组,维护,57,1
2015-08-26,D组,维护,58,1
2015-08-27,A组,维护,59,1
2015-08-27,B组,维护,60,1
2015-08-27,C组,值班,,1
2015-08-27,D组,休息,,0
2015-08-28,A组,维护,59,1
2015-08-28,B组,维护,60,1
2015-08-28,C组,休息,,0
2015-08-28,D组,值班,,1
2015-08-29,A组,值班,,1
2015-08-29,B组,休息,,0
2015-08-29,C组,维护,61,1
2015-08-29,D组,维护,62,1
2015-08-30,A组,休息,,0
2015-08-30,B组,值班,,1
2015-08-30,C组,维护,61,1
2015-08-30,D组,维护,62,1
2015-08-31,A组,维护,63,1
2015-08-31,B组,维护,64,1
2015-08-31,C组,值班,,1
2015-08-31,D组,休息,,0
2015-09-01,A组,维护,63,1
2015-09-01,B组,维护,64,1
2015-09-01,C组,休息,,0
2015-09-01,D组,值班,,1
2015-09-02,A组,值班,,1
2015-09-02,B组,休息,,0
2015-09-02,C组,维护,65,1
2015-09-02,D组,维护,66,1
2015-09-03,A组,休息,,0
2015-09-03,B组,值班,,1
2015-09-03,C组,维护,65,1
2015-09-03,D组,维护,66,1
2015-09-04,A组,维护,67,1
2015-09-04,B组,维护,68,1
2015-09-04,C组,值班,,1
2015-09-04,D组,休息,,0
2015-09-05,A组,维护,67,1
2015-09-05,B组,维护,68,1
2015-09-05,C组,休息,,0
2015-09-05,D组,值班,,1
2015-09-06,A组,值班,,1
2015-09-06,B组,休息,,0
2015-09-06,C组,维护,69,1
2015-09-06,D组,维护,70,1
2015-09-07,A组,休息,,0
2015-09-07,B组,值班,,1
2015-09-07,C组,维护,69,1
2015-09-07,D组,维护,70,1
2015-09-08,A组,维护,71,1
2015-09-08,B组,维护,72,1
2015-09-08,C组,值班,,1
2015-09-08,D组,休息,,0
2015-09-09,A组,维护,71,1
2015-09-09,B组,维护,72,1
2015-09-09,C组,休息,,0
2015-09-09,D组,值班,,1
2015-09-10,A组,值班,,1
2015-09-10,B组,休息,,0
2015-09-10,C组,维护,73,1
2015-09-10,D组,维护,74,1
2015-09-11,A组,休息,,0
2015-09-11,B组,值班,,1
2015-09-11,C组,维护,73,1
2015-09-11,D组,维护,74,1
2015-09-12,A组,维护,75,1
2015-09-12,B组,维护,76,1
2015-09-12,C组,值班,,1
2015-09-12,D组,休息,,0
2015-09-13,A组,维护,75,1
2015-09-13,B组,维护,76,1
2015-09-13,C组,休息,,0
2015-09-13,D组,值班,,1
2015-09-14,A组,值班,,1
2015-09-14,B组,休息,,0
2015-09-14,C组,维护,77,1
2015-09-14,D组,维护,78,1
2015-09-15,A组,休息,,0
2015-09-15,B组,值班,,1
2015-09-15,C组,维护,77,1
2015-09-15,D组,维护,78,1
2015-09-16,A组,维护,79,1
2015-09-16,B组,维护,80,1
2015-09-16,C组,值班,,1
2015-09-16,D组,休息,,0
2015-09-17,A组,维护,79,1
2015-09-17,B组,维护,80,1
2015-09-17,C组,休息,,0
2015-09-17,D组,值班,,1
2015-09-18,A组,值班,,1
2015-09-18,B组,休息,,0
2015-09-18,C组,维护,81,1
2015-09-18,D组,维护,82,1
2015-09-19,A组,休息,,0
2015-09-19,B组,值班,,1
2015-09-19,C组,维护,81,1
2015-09-19,D组,维护,82,1
2015-09-20,A组,维护,83,1
2015-09-20,B组,维护,84,1
2015-09-20,C组,值班,,1
2015-09-20,D组,休息,,0
2015-09-21,A组,维护,83,1
2015-09-21,B组,维护,84,1
2015-09-21,C组,休息,,0
2015-09-21,D组,值班,,1
2015-09-22,A组,值班,,1
2015-09-22,B组,休息,,0
2015-09-22,C组,维护,85,1
2015-09-22,D组,维护,86,1
2015-09-23,A组,休息,,0
2015-09-23,B组,值班,,1
2015-09-23,C组,维护,85,1
2015-09-23,D组,维护,86,1
2015-09-24,A组,维护,87,1
2015-09-24,B组,维护,88,1
2015-09-24,C组,值班,,1
2015-09-24,D组,休息,,0
2015-09-25,A组,维护,87,1
2015-09-25,B组,维护,88,1
2015-09-25,C组,休息,,0
2015-09-25,D组,值班,,1
2015-09-26,A组,值班,,1
2015-09-26,B组,休息,,0
2015-09-26,C组,维护,89,1
2015-09-26,D组,维护,90,1
2015-09-27,A组,休息,,0
2015-09-27,B组,值班,,1
2015-09-27,C组,维护,89,1
2015-09-27,D组,维护,90,1
2015-09-28,A组,维护,91,1
2015-09-28,B组,维护,92,1
2015-09-28,C组,值班,,1
2015-09-28,D组,休息,,0
2015-09-29,A组,维护,91,1
2015-09-29,B组,维护,92,1
2015-09-29,C组,休息,,0
2015-09-29,D组,值班,,1
2015-09-30,A组,值班,,1
2015-09-30,B组,休息,,0
2015-09-30,C组,维护,93,1
2015-09-30,D组,维护,94,1
2015-10-01,A组,休息,,0
2015-10-01,B组,值班,,1
2015-10-01,C组,维护,93,1
2015-10-01,D组,维护,94,1
2015-10-02,A组,维护,95,1
2015-10-02,B组,维护,96,1
2015-10-02,C组,值班,,1
2015-10-02,D组,休息,,0
2015-10-03,A组,维护,95,1
2015-10-03,B组,维护,96,1
2015-10-03,C组,休息,,0
2015-10-03,D组,值班,,1
2015-10-04,A组,值班,,1
2015-10-04,B组,休息,,0
2015-10-04,C组,维护,97,1
2015-10-04,D组,维护,98,1
2015-10-05,A组,休息,,0
2015-10-05,B组,值班,,1
2015-10-05,C组,维护,97,1
2015-10-05,D组,维护,98,1
2015-10-06,A组,维护,99,1
2015-10-06,B组,维护,100,1
2015-10-06,C组,值班,,1
2015-10-06,D组,休息,,0
2015-10-07,A组,维护,99,1
2015-10-07,B组,维护,100,1
2015-10-07,C组,休息,,0
2015-10-07,D组,值班,,1
2015-10-08,A组,值班,,1
2015-10-08,B组,休息,,0
2015-10-08,C组,维护,101,1
2015-10-08,D组,维护,102,1
2015-10-09,A组,休息,,0
2015-10-09,B组,值班,,1
2015-10-09,C组,维护,101,1
2015-10-09,D组,维护,102,1
2015-10-10,A组,维护,103,1
2015-10-10,B组,维护,104,1
2015-10-10,C组,值班,,1
2015-10-10,D组,休息,,0
2015-10-11,A组,维护,103,1
2015-10-11,B组,维护,104,1
2015-10-11,C组,休息,,0
2015-10-11,D组,值班,,1
2015-10-12,A组,值班,,1
2015-10-12,B组,休息,,0
2015-10-12,C组,维护,105,1
2015-10-12,D组,维护,106,1
2015-10-13,A组,休息,,0
2015-10-13,B组,值班,,1
2015-10-13,C组,维护,105,1
2015-10-13,D组,维护,106,1
2015-10-14,A组,维护,107,1
2015-10-14,B组,维护,108,1
2015-10-14,C组,值班,,1
2015-10-14,D组,休息,,0
2015-10-15,A组,维护,107,1
2015-10-15,B组,维护,108,1
2015-10-15,C组,休息,,0
2015-10-15,D组,值班,,1
2015-10-16,A组,值班,,1
2015-10-16,B组,休息,,0
2015-10-16,C组,维护,109,1
2015-10-16,D组,维护,110,1
2015-10-17,A组,休息,,0
2015-10-17,B组,值班,,1
2015-10-17,C组,维护,109,1
2015-10-17,D组,维护,110,1
2015-10-18,A组,维护,111,1
2015-10-18,B组,维护,112,1
2015-10-18,C组,值班,,1
2015-10-18,D组,休息,,0
2015-10-19,A组,维护,111,1
2015-10-19,B组,维护,112,1
2015-10-19,C组,休息,,0
2015-10-19,D组,值班,,1
2015-10-20,A组,值班,,1
2015-10-20,B组,休息,,0
2015-10-20,C组,维护,113,1
2015-10-20,D组,维护,114,1
2015-10-21,A组,休息,,0
2015-10-21,B组,值班,,1
2015-10-21,C组,维护,113,1
2015-10-21,D组,维护,114,1
2015-10-22,A组,维护,115,1
2015-10-22,B组,维护,116,1
2015-10-22,C组,值班,,1
2015-10-22,D组,休息,,0
2015-10-23,A组,维护,115,1
2015-10-23,B组,维护,116,1
2015-10-23,C组,休息,,0
2015-10-23,D组,值班,,1
2015-10-24,A组,值班,,1
2015-10-24,B组,休息,,0
2015-10-24,C组,维护,117,1
2015-10-24,D组,维护,118,1
2015-10-25,A组,休息,,0
2015-10-25,B组,值班,,1
2015-10-25,C组,维护,117,1
2015-10-25,D组,维护,118,1
2015-10-26,A组,维护,119,1
2015-10-26,B组,维护,120,1
2015-10-26,C组,值班,,1
2015-10-26,D组,休息,,0
2015-10-27,A组,维护,119,1
2015-10-27,B组,维护,120,1
2015-10-27,C组,休息,,0
2015-10-27,D组,值班,,1
2015-10-28,A组,值班,,1
2015-10-28,B组,休息,,0
2015-10-28,C组,维护,121,1
2015-10-28,D组,维护,122,1
2015-10-29,A组,休息,,0
2015-10-29,B组,值班,,1
2015-10-29,C组,维护,121,1
2015-10-29,D组,维护,122,1
2015-10-30,A组,维护,123,1
2015-10-30,B组,维护,124,1
2015-10-30,C组,值班,,1
2015-10-30,D组,休息,,0
2015-10-31,A组,维护,123,1
2015-10-31,B组,维护,124,1
2015-10-31,C组,休息,,0
2015-10-31,D组,值班,,1
2015-11-01,A组,值班,,1
2015-11-01,B组,休息,,0
2015-11-01,C组,休息,,0
2015-11-01,D组,休息,,0
2015-11-02,A组,休息,,0
2015-11-02,B组,值班,,1
2015-11-02,C组,休息,,0
2015-11-02,D组,休息,,0
2015-11-03,A组,休息,,0
2015-11-03,B组,休息,,0
2015-11-03,C组,值班,,1
2015-11-03,D组,休息,,0
2015-11-04,A组,休息,,0
2015-11-04,B组,休息,,0
2015-11-04,C组,休息,,0
2015-11-04,D组,值班,,1
2015-11-05,A组,值班,,1
2015-11-05,B组,休息,,0
2015-11-05,C组,休息,,0
2015-11-05,D组,休息,,0
2015-11-06,A组,休息,,0
2015-11-06,B组,值班,,1
2015-11-06,C组,休息,,0
2015-11-06,D组,休息,,0
2015-11-07,A组,休息,,0
2015-11-07,B组,休息,,0
2015-11-07,C组,值班,,1
2015-11-07,D组,休息,,0
2015-11-08,A组,休息,,0
2015-11-08,B组,休息,,0
2015-11-08,C组,休息,,0
2015-11-08,D组,值班,,1
2015-11-09,A组,值班,,1
2015-11-09,B组,休息,,0
2015-11-09,C组,休息,,0
2015-11-09,D组,休息,,0
2015-11-10,A组,休息,,0
2015-11-10,B组,值班,,1
2015-11-10,C组,休息,,0
2015-11-10,D组,休息,,0
2015-11-11,A组,休息,,0
2015-11-11,B组,休息,,0
2015-11-11,C组,值班,,1
2015-11-11,D组,休息,,0
2015-11-12,A组,休息,,0
2015-11-12,B组,休息,,0
2015-11-12,C组,休息,,0
2015-11-12,D组,值班,,1
2015-11-13,A组,值班,,1
2015-11-13,B组,休息,,0
2015-11-13,C组,休息,,0
2015-11-13,D组,休息,,0
2015-11-14,A组,休息,,0
2015-11-14,B组,值班,,1
2015-11-14,C组,休息,,0
2015-11-14,D组,休息,,0
2015-11-15,A组,休息,,0
2015-11-15,B组,休息,,0
2015-11-15,C组,值班,,1
2015-11-15,D组,休息,,0
2015-11-16,A组,休息,,0
2015-11-16,B组,休息,,0
2015-11-16,C组,休息,,0
2015-11-16,D组,值班,,1
2015-11-17,A组,值班,,1
2015-11-17,B组,休息,,0
2015-11-17,C组,休息,,0
2015-11-17,D组,休息,,0
2015-11-18,A组,休息,,0
2015-11-18,B组,值班,,1
2015-11-18,C组,休息,,0
2015-11-18,D组,休息,,0
2015-11-19,A组,休息,,0
2015-11-19,B组,休息,,0
2015-11-19,C组,值班,,1
2015-11-19,D组,休息,,0
2015-11-20,A组,休息,,0
2015-11-20,B组,休息,,0
2015-11-20,C组,休息,,0
2015-11-20,D组,值班,,1
2015-11-21,A组,值班,,1
2015-11-21,B组,休息,,0
2015-11-21,C组,休息,,0
2015-11-21,D组,休息,,0
2015-11-22,A组,休息,,0
2015-11-22,B组,值班,,1
2015-11-22,C组,休息,,0
2015-11-22,D组,休息,,0
2015-11-23,A组,休息,,0
2015-11-23,B组,休息,,0
2015-11-23,C组,值班,,1
2015-11-23,D组,休息,,0
2015-11-24,A组,休息,,0
2015-11-24,B组,休息,,0
2015-11-24,C组,休息,,0
2015-11-24,D组,值班,,1
2015-11-25,A组,值班,,1
2015-11-25,B组,休息,,0
2015-11-25,C组,休息,,0
2015-11-25,D组,休息,,0
2015-11-26,A组,休息,,0
2015-11-26,B组,值班,,1
2015-11-26,C组,休息,,0
2015-11-26,D组,休息,,0
2015-11-27,A组,休息,,0
2015-11-27,B组,休息,,0
2015-11-27,C组,值班,,1
2015-11-27,D组,休息,,0
2015-11-28,A组,休息,,0
2015-11-28,B组,休息,,0
2015-11-28,C组,休息,,0
2015-11-28,D组,值班,,1
2015-11-29,A组,值班,,1
2015-11-29,B组,休息,,0
2015-11-29,C组,休息,,0
2015-11-29,D组,休息,,0
2015-11-30,A组,休息,,0
2015-11-30,B组,值班,,1
2015-11-30,C组,休息,,0
2015-11-30,D组,休息,,0
2015-12-01,A组,休息,,0
2015-12-01,B组,休息,,0
2015-12-01,C组,值班,,1
2015-12-01,D组,休息,,0
2015-12-02,A组,休息,,0
2015-12-02,B组,休息,,0
2015-12-02,C组,休息,,0
2015-12-02,D组,值班,,1
2015-12-03,A组,值班,,1
2015-12-03,B组,休息,,0
2015-12-03,C组,休息,,0
2015-12-03,D组,休息,,0
2015-12-04,A组,休息,,0
2015-12-04,B组,值班,,1
2015-12-04,C组,休息,,0
2015-12-04,D组,休息,,0
2015-12-05,A组,休息,,0
2015-12-05,B组,休息,,0
2015-12-05,C组,值班,,1
2015-12-05,D组,休息,,0
2015-12-06,A组,休息,,0
2015-12-06,B组,休息,,0
2015-12-06,C组,休息,,0
2015-12-06,D组,值班,,1
2015-12-07,A组,值班,,1
2015-12-07,B组,休息,,0
2015-12-07,C组,休息,,0
2015-12-07,D组,休息,,0
2015-12-08,A组,休息,,0
2015-12-08,B组,值班,,1
2015-12-08,C组,休息,,0
2015-12-08,D组,休息,,0
2015-12-09,A组,休息,,0
2015-12-09,B组,休息,,0
2015-12-09,C组,值班,,1
2015-12-09,D组,休息,,0
2015-12-10,A组,休息,,0
2015-12-10,B组,休息,,0
2015-12-10,C组,休息,,0
2015-12-10,D组,值班,,1
2015-12-11,A组,值班,,1
2015-12-11,B组,休息,,0
2015-12-11,C组,休息,,0
2015-12-11,D组,休息,,0
2015-12-12,A组,休息,,0
2015-12-12,B组,值班,,1
2015-12-12,C组,休息,,0
2015-12-12,D组,休息,,0
2015-12-13,A组,休息,,0
2015-12-13,B组,休息,,0
2015-12-13,C组,值班,,1
2015-12-13,D组,休息,,0
2015-12-14,A组,休息,,0
2015-12-14,B组,休息,,0
2015-12-14,C组,休息,,0
2015-12-14,D组,值班,,1
2015-12-15,A组,值班,,1
2015-12-15,B组,休息,,0
2015-12-15,C组,休息,,0
2015-12-15,D组,休息,,0
2015-12-16,A组,休息,,0
2015-12-16,B组,值班,,1
2015-12-16,C组,休息,,0
2015-12-16,D组,休息,,0
2015-12-17,A组,休息,,0
2015-12-17,B组,休息,,0
2015-12-17,C组,值班,,1
2015-12-17,D组,休息,,0
2015-12-18,A组,休息,,0
2015-12-18,B组,休息,,0
2015-12-18,C组,休息,,0
2015-12-18,D组,值班,,1
2015-12-19,A组,值班,,1
2015-12-19,B组,休息,,0
2015-12-19,C组,休息,,0
2015-12-19,D组,休息,,0
2015-12-20,A组,休息,,0
2015-12-20,B组,值班,,1
2015-12-20,C组,休息,,0
2015-12-20,D组,休息,,0
2015-12-21,A组,休息,,0
2015-12-21,B组,休息,,0
2015-12-21,C组,值班,,1
2015-12-21,D组,休息,,0
2015-12-22,A组,休息,,0
2015-12-22,B组,休息,,0
2015-12-22,C组,休息,,0
2015-12-22,D组,值班,,1
2015-12-23,A组,值班,,1
2015-12-23,B组,休息,,0
2015-12-23,C组,休息,,0
2015-12-23,D组,休息,,0
2015-12-24,A组,休息,,0
2015-12-24,B组,值班,,1
2015-12-24,C组,休息,,0
2015-12-24,D组,休息,,0
2015-12-25,A组,休息,,0
2015-12-25,B组,休息,,0
2015-12-25,C组,值班,,1
2015-12-25,D组,休息,,0
2015-12-26,A组,休息,,0
2015-12-26,B组,休息,,0
2015-12-26,C组,休息,,0
2015-12-26,D组,值班,,1
2015-12-27,A组,值班,,1
2015-12-27,B组,休息,,0
2015-12-27,C组,休息,,0
2015-12-27,D组,休息,,0
2015-12-28,A组,休息,,0
2015-12-28,B组,值班,,1
2015-12-28,C组,休息,,0
2015-12-28,D组,休息,,0
2015-12-29,A组,休息,,0
2015-12-29,B组,休息,,0
2015-12-29,C组,值班,,1
2015-12-29,D组,休息,,0
2015-12-30,A组,休息,,0
2015-12-30,B组,休息,,0
2015-12-30,C组,休息,,0
2015-12-30,D组,值班,,1
2015-12-31,A组,值班,,1
2015-12-31,B组,休息,,0
2015-12-31,C组,休息,,0
2015-12-31,D组,休息,,0
