component,kind,units,year,month,month_name,date,value
Lake Michigan and Lake Huron,level_m,meters,2015,10,Oct,2015-10-01,176.58
Lake Michigan and Lake Huron,level_m,meters,2015,11,Nov,2015-11-01,176.54
Lake Michigan and Lake Huron,level_m,meters,2015,12,Dec,2015-12-01,176.55
Lake Michigan and Lake Huron,level_m,meters,2016,1,Jan,2016-01-01,176.57
Lake Michigan and Lake Huron,level_m,meters,2016,2,Feb,2016-02-01,176.56
Lake Michigan and Lake Huron,level_m,meters,2016,3,Mar,2016-03-01,176.61
Lake Michigan and Lake Huron,level_m,meters,2016,4,Apr,2016-04-01,176.77
Lake Michigan and Lake Huron,level_m,meters,2016,5,May,2016-05-01,176.82
Lake Michigan and Lake Huron,level_m,meters,2016,6,Jun,2016-06-01,176.84
Lake Michigan and Lake Huron,level_m,meters,2016,7,Jul,2016-07-01,176.84
Lake Michigan and Lake Huron,level_m,meters,2016,8,Aug,2016-08-01,176.82
Lake Michigan and Lake Huron,level_m,meters,2016,9,Sep,2016-09-01,176.78
Lake Michigan and Lake Huron,level_m,meters,2016,10,Oct,2016-10-01,176.69
Lake Michigan and Lake Huron,level_m,meters,2016,11,Nov,2016-11-01,176.59
Lake Michigan and Lake Huron,level_m,meters,2016,12,Dec,2016-12-01,176.51
Lake Michigan and Lake Huron,level_m,meters,2017,1,Jan,2017-01-01,176.47
Lake Michigan and Lake Huron,level_m,meters,2017,2,Feb,2017-02-01,176.48
Lake Michigan and Lake Huron,level_m,meters,2017,3,Mar,2017-03-01,176.53
Lake Michigan and Lake Huron,level_m,meters,2017,4,Apr,2017-04-01,176.66
Lake Michigan and Lake Huron,level_m,meters,2017,5,May,2017-05-01,176.8
Lake Michigan and Lake Huron,level_m,meters,2017,6,Jun,2017-06-01,176.88
Lake Michigan and Lake Huron,level_m,meters,2017,7,Jul,2017-07-01,176.99
Lake Michigan and Lake Huron,level_m,meters,2017,8,Aug,2017-08-01,177.0
Lake Michigan and Lake Huron,level_m,meters,2017,9,Sep,2017-09-01,176.93
Lake Michigan and Lake Huron,level_m,meters,2017,10,Oct,2017-10-01,176.87
Lake Michigan and Lake Huron,level_m,meters,2017,11,Nov,2017-11-01,176.85
Lake Michigan and Lake Huron,level_m,meters,2017,12,Dec,2017-12-01,176.79
Lake Michigan and Lake Huron,level_m,meters,2018,1,Jan,2018-01-01,176.73
Lake Michigan and Lake Huron,level_m,meters,2018,2,Feb,2018-02-01,176.74
Lake Michigan and Lake Huron,level_m,meters,2018,3,Mar,2018-03-01,176.76
Lake Michigan and Lake Huron,level_m,meters,2018,4,Apr,2018-04-01,176.79
Lake Michigan and Lake Huron,level_m,meters,2018,5,May,2018-05-01,176.92
Lake Michigan and Lake Huron,level_m,meters,2018,6,Jun,2018-06-01,176.98
Lake Michigan and Lake Huron,level_m,meters,2018,7,Jul,2018-07-01,176.98
Lake Michigan and Lake Huron,level_m,meters,2018,8,Aug,2018-08-01,176.94
Lake Michigan and Lake Huron,level_m,meters,2018,9,Sep,2018-09-01,176.94
Lake Michigan and Lake Huron,level_m,meters,2018,10,Oct,2018-10-01,176.89
Lake Michigan and Lake Huron,level_m,meters,2018,11,Nov,2018-11-01,176.86
Lake Michigan and Lake Huron,level_m,meters,2018,12,Dec,2018-12-01,176.83
Lake Michigan and Lake Huron,level_m,meters,2019,1,Jan,2019-01-01,176.8
Lake Michigan and Lake Huron,level_m,meters,2019,2,Feb,2019-02-01,176.82
Lake Michigan and Lake Huron,level_m,meters,2019,3,Mar,2019-03-01,176.85
Lake Michigan and Lake Huron,level_m,meters,2019,4,Apr,2019-04-01,176.96
Lake Michigan and Lake Huron,level_m,meters,2019,5,May,2019-05-01,177.17
Lake Michigan and Lake Huron,level_m,meters,2019,6,Jun,2019-06-01,177.31
Lake Michigan and Lake Huron,level_m,meters,2019,7,Jul,2019-07-01,177.37
Lake Michigan and Lake Huron,level_m,meters,2019,8,Aug,2019-08-01,177.32
Lake Michigan and Lake Huron,level_m,meters,2019,9,Sep,2019-09-01,177.27
Lake Michigan and Lake Huron,level_m,meters,2019,10,Oct,2019-10-01,177.28
Lake Michigan and Lake Huron,level_m,meters,2019,11,Nov,2019-11-01,177.26
Lake Michigan and Lake Huron,level_m,meters,2019,12,Dec,2019-12-01,177.24
Lake Michigan and Lake Huron,level_m,meters,2020,1,Jan,2020-01-01,177.26
Lake Michigan and Lake Huron,level_m,meters,2020,2,Feb,2020-02-01,177.24
Lake Michigan and Lake Huron,level_m,meters,2020,3,Mar,2020-03-01,177.22
Lake Michigan and Lake Huron,level_m,meters,2020,4,Apr,2020-04-01,177.29
Lake Michigan and Lake Huron,level_m,meters,2020,5,May,2020-05-01,177.37
Lake Michigan and Lake Huron,level_m,meters,2020,6,Jun,2020-06-01,177.44
Lake Michigan and Lake Huron,level_m,meters,2020,7,Jul,2020-07-01,177.45
Lake Michigan and Lake Huron,level_m,meters,2020,8,Aug,2020-08-01,177.42
Lake Michigan and Lake Huron,level_m,meters,2020,9,Sep,2020-09-01,177.34
Lake Michigan and Lake Huron,level_m,meters,2020,10,Oct,2020-10-01,177.25
Lake Michigan and Lake Huron,level_m,meters,2020,11,Nov,2020-11-01,177.2
Lake Michigan and Lake Huron,level_m,meters,2020,12,Dec,2020-12-01,177.14
Lake Michigan and Lake Huron,level_m,meters,2021,1,Jan,2021-01-01,177.06
Lake Michigan and Lake Huron,level_m,meters,2021,2,Feb,2021-02-01,176.99
Lake Michigan and Lake Huron,level_m,meters,2021,3,Mar,2021-03-01,176.94
Lake Michigan and Lake Huron,level_m,meters,2021,4,Apr,2021-04-01,176.94
Lake Michigan and Lake Huron,level_m,meters,2021,5,May,2021-05-01,176.95
Lake Michigan and Lake Huron,level_m,meters,2021,6,Jun,2021-06-01,176.93
Lake Michigan and Lake Huron,level_m,meters,2021,7,Jul,2021-07-01,177.0
Lake Michigan and Lake Huron,level_m,meters,2021,8,Aug,2021-08-01,177.01
Lake Michigan and Lake Huron,level_m,meters,2021,9,Sep,2021-09-01,176.93
Lake Michigan and Lake Huron,level_m,meters,2021,10,Oct,2021-10-01,176.9
Lake Michigan and Lake Huron,level_m,meters,2021,11,Nov,2021-11-01,176.77
Lake Michigan and Lake Huron,level_m,meters,2021,12,Dec,2021-12-01,176.69
Lake Michigan and Lake Huron,level_m,meters,2022,1,Jan,2022-01-01,176.6
Lake Michigan and Lake Huron,level_m,meters,2022,2,Feb,2022-02-01,176.54
Lake Michigan and Lake Huron,level_m,meters,2022,3,Mar,2022-03-01,176.53
Lake Michigan and Lake Huron,level_m,meters,2022,4,Apr,2022-04-01,176.66
Lake Michigan and Lake Huron,level_m,meters,2022,5,May,2022-05-01,176.75
Lake Michigan and Lake Huron,level_m,meters,2022,6,Jun,2022-06-01,176.8
Lake Michigan and Lake Huron,level_m,meters,2022,7,Jul,2022-07-01,176.81
Lake Michigan and Lake Huron,level_m,meters,2022,8,Aug,2022-08-01,176.79
Lake Michigan and Lake Huron,level_m,meters,2022,9,Sep,2022-09-01,176.71
Lake Michigan and Lake Huron,level_m,meters,2022,10,Oct,2022-10-01,176.6
Lake Michigan and Lake Huron,level_m,meters,2022,11,Nov,2022-11-01,176.55
Lake Michigan and Lake Huron,level_m,meters,2022,12,Dec,2022-12-01,176.46
St. Clair River,flow_cms,cubic meters per second,2008,10,Oct,2008-10-01,5235.784432225478
St. Clair River,flow_cms,cubic meters per second,2008,11,Nov,2008-11-01,5122.517056731146
St. Clair River,flow_cms,cubic meters per second,2008,12,Dec,2008-12-01,4808.200089734376
St. Clair River,flow_cms,cubic meters per second,2009,1,Jan,2009-01-01,4442.912803765157
St. Clair River,flow_cms,cubic meters per second,2009,2,Feb,2009-02-01,4723.249558113627
St. Clair River,flow_cms,cubic meters per second,2009,3,Mar,2009-03-01,5000.75462807474
St. Clair River,flow_cms,cubic meters per second,2009,4,Apr,2009-04-01,5230.1210634507615
St. Clair River,flow_cms,cubic meters per second,2009,5,May,2009-05-01,5329.230017008302
St. Clair River,flow_cms,cubic meters per second,2009,6,Jun,2009-06-01,5504.794449024515
St. Clair River,flow_cms,cubic meters per second,2009,7,Jul,2009-07-01,5513.289502186591
St. Clair River,flow_cms,cubic meters per second,2009,8,Aug,2009-08-01,5450.992445664708
St. Clair River,flow_cms,cubic meters per second,2009,9,Sep,2009-09-01,5487.804342700366
St. Clair River,flow_cms,cubic meters per second,2009,10,Oct,2009-10-01,5402.853811079617
St. Clair River,flow_cms,cubic meters per second,2009,11,Nov,2009-11-01,5501.962764637157
St. Clair River,flow_cms,cubic meters per second,2009,12,Dec,2009-12-01,5366.041914043959
St. Clair River,flow_cms,cubic meters per second,2010,1,Jan,2010-01-01,4731.7446112757025
St. Clair River,flow_cms,cubic meters per second,2010,2,Feb,2010-02-01,4145.585943092537
St. Clair River,flow_cms,cubic meters per second,2010,3,Mar,2010-03-01,5054.556631434548
St. Clair River,flow_cms,cubic meters per second,2010,4,Apr,2010-04-01,5275.428013648494
St. Clair River,flow_cms,cubic meters per second,2010,5,May,2010-05-01,5105.526950406997
St. Clair River,flow_cms,cubic meters per second,2010,6,Jun,2010-06-01,5080.041790920772
St. Clair River,flow_cms,cubic meters per second,2010,7,Jul,2010-07-01,5133.8437942805795
St. Clair River,flow_cms,cubic meters per second,2010,8,Aug,2010-08-01,5247.111169774911
St. Clair River,flow_cms,cubic meters per second,2010,9,Sep,2010-09-01,5283.923066810569
St. Clair River,flow_cms,cubic meters per second,2010,10,Oct,2010-10-01,5249.942854162269
St. Clair River,flow_cms,cubic meters per second,2010,11,Nov,2010-11-01,5048.893262659831
St. Clair River,flow_cms,cubic meters per second,2010,12,Dec,2010-12-01,4983.764521750591
St. Clair River,flow_cms,cubic meters per second,2011,1,Jan,2011-01-01,4077.6255177959374
St. Clair River,flow_cms,cubic meters per second,2011,2,Feb,2011-02-01,3802.9521322221835
St. Clair River,flow_cms,cubic meters per second,2011,3,Mar,2011-03-01,4244.694896650077
St. Clair River,flow_cms,cubic meters per second,2011,4,Apr,2011-04-01,4825.190196058526
St. Clair River,flow_cms,cubic meters per second,2011,5,May,2011-05-01,4961.111046651724
St. Clair River,flow_cms,cubic meters per second,2011,6,Jun,2011-06-01,5031.903156335681
St. Clair River,flow_cms,cubic meters per second,2011,7,Jul,2011-07-01,4963.942731039082
St. Clair River,flow_cms,cubic meters per second,2011,8,Aug,2011-08-01,5181.982428865671
St. Clair River,flow_cms,cubic meters per second,2011,9,Sep,2011-09-01,5080.041790920772
St. Clair River,flow_cms,cubic meters per second,2011,10,Oct,2011-10-01,5074.3784221460555
St. Clair River,flow_cms,cubic meters per second,2011,11,Nov,2011-11-01,4995.091259300023
St. Clair River,flow_cms,cubic meters per second,2011,12,Dec,2011-12-01,4785.54661463551
St. Clair River,flow_cms,cubic meters per second,2012,1,Jan,2012-01-01,4714.754504951553
St. Clair River,flow_cms,cubic meters per second,2012,2,Feb,2012-02-01,4782.714930248152
St. Clair River,flow_cms,cubic meters per second,2012,3,Mar,2012-03-01,4836.516933607959
St. Clair River,flow_cms,cubic meters per second,2012,4,Apr,2012-04-01,5122.517056731146
St. Clair River,flow_cms,cubic meters per second,2012,5,May,2012-05-01,5006.417996849456
St. Clair River,flow_cms,cubic meters per second,2012,6,Jun,2012-06-01,4966.77441542644
St. Clair River,flow_cms,cubic meters per second,2012,7,Jul,2012-07-01,4904.477358904558
St. Clair River,flow_cms,cubic meters per second,2012,8,Aug,2012-08-01,4955.447677877008
St. Clair River,flow_cms,cubic meters per second,2012,9,Sep,2012-09-01,4859.170408706826
St. Clair River,flow_cms,cubic meters per second,2012,10,Oct,2012-10-01,4819.526827283809
St. Clair River,flow_cms,cubic meters per second,2012,11,Nov,2012-11-01,4709.091136176836
St. Clair River,flow_cms,cubic meters per second,2012,12,Dec,2012-12-01,4621.308920168729
St. Clair River,flow_cms,cubic meters per second,2013,1,Jan,2013-01-01,4309.823637559317
St. Clair River,flow_cms,cubic meters per second,2013,2,Feb,2013-02-01,4168.239418191402
St. Clair River,flow_cms,cubic meters per second,2013,3,Mar,2013-03-01,4556.180179259489
St. Clair River,flow_cms,cubic meters per second,2013,4,Apr,2013-04-01,4607.1504982319375
St. Clair River,flow_cms,cubic meters per second,2013,5,May,2013-05-01,4983.764521750591
St. Clair River,flow_cms,cubic meters per second,2013,6,Jun,2013-06-01,4989.427890525307
St. Clair River,flow_cms,cubic meters per second,2013,7,Jul,2013-07-01,4881.823883805691
St. Clair River,flow_cms,cubic meters per second,2013,8,Aug,2013-08-01,5003.586312462098
St. Clair River,flow_cms,cubic meters per second,2013,9,Sep,2013-09-01,5026.239787560965
St. Clair River,flow_cms,cubic meters per second,2013,10,Oct,2013-10-01,4949.7843091022905
St. Clair River,flow_cms,cubic meters per second,2013,11,Nov,2013-11-01,5085.705159695489
St. Clair River,flow_cms,cubic meters per second,2013,12,Dec,2013-12-01,4961.111046651724
St. Clair River,flow_cms,cubic meters per second,2014,1,Jan,2014-01-01,3746.3184444750177
St. Clair River,flow_cms,cubic meters per second,2014,2,Feb,2014-02-01,4049.3086739223545
St. Clair River,flow_cms,cubic meters per second,2014,3,Mar,2014-03-01,4728.912926888344
St. Clair River,flow_cms,cubic meters per second,2014,4,Apr,2014-04-01,5128.180425505863
St. Clair River,flow_cms,cubic meters per second,2014,5,May,2014-05-01,5317.903279458868
St. Clair River,flow_cms,cubic meters per second,2014,6,Jun,2014-06-01,5459.487498826783
St. Clair River,flow_cms,cubic meters per second,2014,7,Jul,2014-07-01,5572.754874321115
St. Clair River,flow_cms,cubic meters per second,2014,8,Aug,2014-08-01,5550.101399222248
St. Clair River,flow_cms,cubic meters per second,2014,9,Sep,2014-09-01,5649.210352779788
St. Clair River,flow_cms,cubic meters per second,2014,10,Oct,2014-10-01,5872.913419381093
St. Clair River,flow_cms,cubic meters per second,2014,11,Nov,2014-11-01,5867.250050606377
St. Clair River,flow_cms,cubic meters per second,2014,12,Dec,2014-12-01,5912.5570008041095
St. Clair River,flow_cms,cubic meters per second,2015,1,Jan,2015-01-01,4502.378175899681
St. Clair River,flow_cms,cubic meters per second,2015,2,Feb,2015-02-01,4009.6650924993387
St. Clair River,flow_cms,cubic meters per second,2015,3,Mar,2015-03-01,5292.418119972644
St. Clair River,flow_cms,cubic meters per second,2015,4,Apr,2015-04-01,5952.200582227126
St. Clair River,flow_cms,cubic meters per second,2015,5,May,2015-05-01,5940.873844677692
St. Clair River,flow_cms,cubic meters per second,2015,6,Jun,2015-06-01,5938.042160290334
St. Clair River,flow_cms,cubic meters per second,2015,7,Jul,2015-07-01,5753.982675112045
St. Clair River,flow_cms,cubic meters per second,2015,8,Aug,2015-08-01,5816.279731633927
St. Clair River,flow_cms,cubic meters per second,2015,9,Sep,2015-09-01,5895.56689447996
St. Clair River,flow_cms,cubic meters per second,2015,10,Oct,2015-10-01,5821.943100408644
St. Clair River,flow_cms,cubic meters per second,2015,11,Nov,2015-11-01,5799.289625309778
St. Clair River,flow_cms,cubic meters per second,2015,12,Dec,2015-12-01,5824.774784796003
St. Clair River,flow_cms,cubic meters per second,2016,1,Jan,2016-01-01,5810.616362859211
St. Clair River,flow_cms,cubic meters per second,2016,2,Feb,2016-02-01,5703.012356139596
St. Clair River,flow_cms,cubic meters per second,2016,3,Mar,2016-03-01,5943.7055290650505
St. Clair River,flow_cms,cubic meters per second,2016,4,Apr,2016-04-01,6181.567017603147
St. Clair River,flow_cms,cubic meters per second,2016,5,May,2016-05-01,6116.438276693906
St. Clair River,flow_cms,cubic meters per second,2016,6,Jun,2016-06-01,6065.467957721457
St. Clair River,flow_cms,cubic meters per second,2016,7,Jul,2016-07-01,6008.834269974292
St. Clair River,flow_cms,cubic meters per second,2016,8,Aug,2016-08-01,5946.537213452409
St. Clair River,flow_cms,cubic meters per second,2016,9,Sep,2016-09-01,6051.309535784666
St. Clair River,flow_cms,cubic meters per second,2016,10,Oct,2016-10-01,5949.368897839767
St. Clair River,flow_cms,cubic meters per second,2016,11,Nov,2016-11-01,5974.854057325992
St. Clair River,flow_cms,cubic meters per second,2016,12,Dec,2016-12-01,5680.35888104073
St. Clair River,flow_cms,cubic meters per second,2017,1,Jan,2017-01-01,5552.933083609607
St. Clair River,flow_cms,cubic meters per second,2017,2,Feb,2017-02-01,5649.210352779788
St. Clair River,flow_cms,cubic meters per second,2017,3,Mar,2017-03-01,5889.903525705243
St. Clair River,flow_cms,cubic meters per second,2017,4,Apr,2017-04-01,5898.398578867318
St. Clair River,flow_cms,cubic meters per second,2017,5,May,2017-05-01,5977.68574171335
St. Clair River,flow_cms,cubic meters per second,2017,6,Jun,2017-06-01,6037.1511138478745
St. Clair River,flow_cms,cubic meters per second,2017,7,Jul,2017-07-01,6221.2105990261625
St. Clair River,flow_cms,cubic meters per second,2017,8,Aug,2017-08-01,6283.5076555480455
St. Clair River,flow_cms,cubic meters per second,2017,9,Sep,2017-09-01,6286.339339935404
St. Clair River,flow_cms,cubic meters per second,2017,10,Oct,2017-10-01,6130.596698630698
St. Clair River,flow_cms,cubic meters per second,2017,11,Nov,2017-11-01,6232.537336575596
St. Clair River,flow_cms,cubic meters per second,2017,12,Dec,2017-12-01,6054.141220172024
St. Clair River,flow_cms,cubic meters per second,2018,1,Jan,2018-01-01,5063.051684596622
St. Clair River,flow_cms,cubic meters per second,2018,2,Feb,2018-02-01,5510.4578177992325
St. Clair River,flow_cms,cubic meters per second,2018,3,Mar,2018-03-01,6294.834393097479
St. Clair River,flow_cms,cubic meters per second,2018,4,Apr,2018-04-01,6102.279854757115
St. Clair River,flow_cms,cubic meters per second,2018,5,May,2018-05-01,6124.933329855981
St. Clair River,flow_cms,cubic meters per second,2018,6,Jun,2018-06-01,6263.685864836537
St. Clair River,flow_cms,cubic meters per second,2018,7,Jul,2018-07-01,6079.626379658249
St. Clair River,flow_cms,cubic meters per second,2018,8,Aug,2018-08-01,6096.616485982398
St. Clair River,flow_cms,cubic meters per second,2018,9,Sep,2018-09-01,6198.557123927297
St. Clair River,flow_cms,cubic meters per second,2018,10,Oct,2018-10-01,6359.963134006719
St. Clair River,flow_cms,cubic meters per second,2018,11,Nov,2018-11-01,6292.00270871012
St. Clair River,flow_cms,cubic meters per second,2018,12,Dec,2018-12-01,6156.081858116922
St. Clair River,flow_cms,cubic meters per second,2019,1,Jan,2019-01-01,5467.982551988858
St. Clair River,flow_cms,cubic meters per second,2019,2,Feb,2019-02-01,5445.3290768899915
St. Clair River,flow_cms,cubic meters per second,2019,3,Mar,2019-03-01,6150.418489342205
St. Clair River,flow_cms,cubic meters per second,2019,4,Apr,2019-04-01,6393.943346655019
St. Clair River,flow_cms,cubic meters per second,2019,5,May,2019-05-01,6538.359250410292
St. Clair River,flow_cms,cubic meters per second,2019,6,Jun,2019-06-01,6657.2899946793395
St. Clair River,flow_cms,cubic meters per second,2019,7,Jul,2019-07-01,6730.913788750655
St. Clair River,flow_cms,cubic meters per second,2019,8,Aug,2019-08-01,6844.181164244987
St. Clair River,flow_cms,cubic meters per second,2019,9,Sep,2019-09-01,6648.794941517264
St. Clair River,flow_cms,cubic meters per second,2019,10,Oct,2019-10-01,6855.50790179442
St. Clair River,flow_cms,cubic meters per second,2019,11,Nov,2019-11-01,6943.290117802527
St. Clair River,flow_cms,cubic meters per second,2019,12,Dec,2019-12-01,6878.161376893287
St. Clair River,flow_cms,cubic meters per second,2020,1,Jan,2020-01-01,6827.191057920837
St. Clair River,flow_cms,cubic meters per second,2020,2,Feb,2020-02-01,6920.636642703661
St. Clair River,flow_cms,cubic meters per second,2020,3,Mar,2020-03-01,6866.834639343853
St. Clair River,flow_cms,cubic meters per second,2020,4,Apr,2020-04-01,6914.973273928944
St. Clair River,flow_cms,cubic meters per second,2020,5,May,2020-05-01,7002.755489937051
St. Clair River,flow_cms,cubic meters per second,2020,6,Jun,2020-06-01,6917.804958316302
St. Clair River,flow_cms,cubic meters per second,2020,7,Jul,2020-07-01,6940.458433415169
St. Clair River,flow_cms,cubic meters per second,2020,8,Aug,2020-08-01,7005.587174324409
St. Clair River,flow_cms,cubic meters per second,2020,9,Sep,2020-09-01,7011.250543099126
St. Clair River,flow_cms,cubic meters per second,2020,10,Oct,2020-10-01,6999.923805549693
St. Clair River,flow_cms,cubic meters per second,2020,11,Nov,2020-11-01,6926.300011478377
St. Clair River,flow_cms,cubic meters per second,2020,12,Dec,2020-12-01,6866.834639343853
St. Clair River,flow_cms,cubic meters per second,2021,1,Jan,2021-01-01,6716.7553668138635
St. Clair River,flow_cms,cubic meters per second,2021,2,Feb,2021-02-01,5414.1805486290505
St. Clair River,flow_cms,cubic meters per second,2021,3,Mar,2021-03-01,6657.2899946793395
St. Clair River,flow_cms,cubic meters per second,2021,4,Apr,2021-04-01,6527.032512860858
St. Clair River,flow_cms,cubic meters per second,2021,5,May,2021-05-01,6456.240403176901
St. Clair River,flow_cms,cubic meters per second,2021,6,Jun,2021-06-01,6071.131326496174
St. Clair River,flow_cms,cubic meters per second,2021,7,Jul,2021-07-01,6198.557123927297
St. Clair River,flow_cms,cubic meters per second,2021,8,Aug,2021-08-01,6249.527442899745
St. Clair River,flow_cms,cubic meters per second,2021,9,Sep,2021-09-01,6320.319552583703
St. Clair River,flow_cms,cubic meters per second,2021,10,Oct,2021-10-01,6226.87396780088
St. Clair River,flow_cms,cubic meters per second,2021,11,Nov,2021-11-01,6082.458064045607
St. Clair River,flow_cms,cubic meters per second,2021,12,Dec,2021-12-01,5940.873844677692
St. Clair River,flow_cms,cubic meters per second,2022,1,Jan,2022-01-01,5419.843917403767
St. Clair River,flow_cms,cubic meters per second,2022,2,Feb,2022-02-01,4697.764398627403
St. Clair River,flow_cms,cubic meters per second,2022,3,Mar,2022-03-01,5804.952994084494
St. Clair River,flow_cms,cubic meters per second,2022,4,Apr,2022-04-01,6008.834269974292
St. Clair River,flow_cms,cubic meters per second,2022,5,May,2022-05-01,6068.2996421088155
St. Clair River,flow_cms,cubic meters per second,2022,6,Jun,2022-06-01,6079.626379658249
St. Clair River,flow_cms,cubic meters per second,2022,7,Jul,2022-07-01,6048.477851397307
St. Clair River,flow_cms,cubic meters per second,2022,8,Aug,2022-08-01,6099.448170369757
St. Clair River,flow_cms,cubic meters per second,2022,9,Sep,2022-09-01,6113.606592306548
St. Clair River,flow_cms,cubic meters per second,2022,10,Oct,2022-10-01,5974.854057325992
St. Clair River,flow_cms,cubic meters per second,2022,11,Nov,2022-11-01,5909.725316416751
Lake St. Clair,level_m,meters,2000,1,Jan,2000-01-01,174.63
Lake St. Clair,level_m,meters,2000,2,Feb,2000-02-01,174.44
Lake St. Clair,level_m,meters,2000,3,Mar,2000-03-01,174.66
Lake St. Clair,level_m,meters,2000,4,Apr,2000-04-01,174.76
Lake St. Clair,level_m,meters,2000,5,May,2000-05-01,174.85
Lake St. Clair,level_m,meters,2000,6,Jun,2000-06-01,174.96
Lake St. Clair,level_m,meters,2000,7,Jul,2000-07-01,175.05
Lake St. Clair,level_m,meters,2000,8,Aug,2000-08-01,175.03
Lake St. Clair,level_m,meters,2000,9,Sep,2000-09-01,174.93
Lake St. Clair,level_m,meters,2000,10,Oct,2000-10-01,174.8
Lake St. Clair,level_m,meters,2000,11,Nov,2000-11-01,174.65
Lake St. Clair,level_m,meters,2000,12,Dec,2000-12-01,174.75
Lake St. Clair,level_m,meters,2001,1,Jan,2001-01-01,174.71
Lake St. Clair,level_m,meters,2001,2,Feb,2001-02-01,174.69
Lake St. Clair,level_m,meters,2001,3,Mar,2001-03-01,174.7
Lake St. Clair,level_m,meters,2001,4,Apr,2001-04-01,174.74
Lake St. Clair,level_m,meters,2001,5,May,2001-05-01,174.79
Lake St. Clair,level_m,meters,2001,6,Jun,2001-06-01,174.89
Lake St. Clair,level_m,meters,2001,7,Jul,2001-07-01,174.89
Lake St. Clair,level_m,meters,2001,8,Aug,2001-08-01,174.81
Lake St. Clair,level_m,meters,2001,9,Sep,2001-09-01,174.75
Lake St. Clair,level_m,meters,2001,10,Oct,2001-10-01,174.73
Lake St. Clair,level_m,meters,2001,11,Nov,2001-11-01,174.7
Lake St. Clair,level_m,meters,2001,12,Dec,2001-12-01,174.74
Lake St. Clair,level_m,meters,2002,1,Jan,2002-01-01,174.69
Lake St. Clair,level_m,meters,2002,2,Feb,2002-02-01,174.77
Lake St. Clair,level_m,meters,2002,3,Mar,2002-03-01,174.8
Lake St. Clair,level_m,meters,2002,4,Apr,2002-04-01,174.94
Lake St. Clair,level_m,meters,2002,5,May,2002-05-01,175.03
Lake St. Clair,level_m,meters,2002,6,Jun,2002-06-01,175.09
Lake St. Clair,level_m,meters,2002,7,Jul,2002-07-01,175.1
Lake St. Clair,level_m,meters,2002,8,Aug,2002-08-01,175.05
Lake St. Clair,level_m,meters,2002,9,Sep,2002-09-01,174.96
Lake St. Clair,level_m,meters,2002,10,Oct,2002-10-01,174.84
Lake St. Clair,level_m,meters,2002,11,Nov,2002-11-01,174.72
Lake St. Clair,level_m,meters,2002,12,Dec,2002-12-01,174.62
Lake St. Clair,level_m,meters,2003,1,Jan,2003-01-01,174.6
Lake St. Clair,level_m,meters,2003,2,Feb,2003-02-01,174.6
Lake St. Clair,level_m,meters,2003,3,Mar,2003-03-01,174.53
Lake St. Clair,level_m,meters,2003,4,Apr,2003-04-01,174.73
Lake St. Clair,level_m,meters,2003,5,May,2003-05-01,174.82
Lake St. Clair,level_m,meters,2003,6,Jun,2003-06-01,174.89
Lake St. Clair,level_m,meters,2003,7,Jul,2003-07-01,174.92
Lake St. Clair,level_m,meters,2003,8,Aug,2003-08-01,174.92
Lake St. Clair,level_m,meters,2003,9,Sep,2003-09-01,174.82
Lake St. Clair,level_m,meters,2003,10,Oct,2003-10-01,174.69
Lake St. Clair,level_m,meters,2003,11,Nov,2003-11-01,174.65
Lake St. Clair,level_m,meters,2003,12,Dec,2003-12-01,174.68
Lake St. Clair,level_m,meters,2004,1,Jan,2004-01-01,174.68
Lake St. Clair,level_m,meters,2004,2,Feb,2004-02-01,174.66
Lake St. Clair,level_m,meters,2004,3,Mar,2004-03-01,174.77
Lake St. Clair,level_m,meters,2004,4,Apr,2004-04-01,174.86
Lake St. Clair,level_m,meters,2004,5,May,2004-05-01,175.0
Lake St. Clair,level_m,meters,2004,6,Jun,2004-06-01,175.12
Lake St. Clair,level_m,meters,2004,7,Jul,2004-07-01,175.15
Lake St. Clair,level_m,meters,2004,8,Aug,2004-08-01,175.12
Lake St. Clair,level_m,meters,2004,9,Sep,2004-09-01,175.07
Lake St. Clair,level_m,meters,2004,10,Oct,2004-10-01,174.89
Lake St. Clair,level_m,meters,2004,11,Nov,2004-11-01,174.82
Lake St. Clair,level_m,meters,2004,12,Dec,2004-12-01,174.86
Lake St. Clair,level_m,meters,2005,1,Jan,2005-01-01,174.99
Lake St. Clair,level_m,meters,2005,2,Feb,2005-02-01,175.0
Lake St. Clair,level_m,meters,2005,3,Mar,2005-03-01,174.99
Lake St. Clair,level_m,meters,2005,4,Apr,2005-04-01,175.08
Lake St. Clair,level_m,meters,2005,5,May,2005-05-01,175.08
Lake St. Clair,level_m,meters,2005,6,Jun,2005-06-01,175.05
Lake St. Clair,level_m,meters,2005,7,Jul,2005-07-01,175.03
Lake St. Clair,level_m,meters,2005,8,Aug,2005-08-01,174.96
Lake St. Clair,level_m,meters,2005,9,Sep,2005-09-01,174.9
Lake St. Clair,level_m,meters,2005,10,Oct,2005-10-01,174.82
Lake St. Clair,level_m,meters,2005,11,Nov,2005-11-01,174.65
Lake St. Clair,level_m,meters,2005,12,Dec,2005-12-01,174.71
Lake St. Clair,level_m,meters,2006,1,Jan,2006-01-01,174.73
Lake St. Clair,level_m,meters,2006,2,Feb,2006-02-01,174.8
Lake St. Clair,level_m,meters,2006,3,Mar,2006-03-01,174.84
