environment,variability_multiplier,day,moisture_index,remaining_litter_mass,cumulative_mass_loss_pct,richness_alive,shannon_diversity,dominant_species
tropical rain forest,1.0,250,0.8841,6.4112,93.5888,3,0.7634,moisture generalist
tropical rain forest,1.0,255,0.8824,6.0624,93.9376,3,0.7585,moisture generalist
tropical rain forest,1.0,260,0.8677,5.722,94.278,3,0.7538,moisture generalist
tropical rain forest,1.0,265,0.8579,5.3941,94.6059,3,0.7493,moisture generalist
tropical rain forest,1.0,270,0.8657,5.0895,94.9105,2,0.745,moisture generalist
tropical rain forest,1.0,275,0.8884,4.8148,95.1852,2,0.7409,moisture generalist
tropical rain forest,1.0,280,0.9098,4.5671,95.4329,2,0.7364,moisture generalist
tropical rain forest,1.0,285,0.9125,4.3334,95.6666,2,0.7321,moisture generalist
tropical rain forest,1.0,290,0.8907,4.0999,95.9001,2,0.7286,moisture generalist
tropical rain forest,1.0,295,0.8553,3.8629,96.1371,2,0.725,moisture generalist
tropical rain forest,1.0,300,0.8257,3.6269,96.3731,2,0.7214,moisture generalist
tropical rain forest,1.0,305,0.8158,3.4011,96.5989,2,0.7179,moisture generalist
tropical rain forest,1.0,310,0.8242,3.1923,96.8077,2,0.7146,moisture generalist
tropical rain forest,1.0,315,0.8354,3.0001,96.9999,2,0.7116,moisture generalist
tropical rain forest,1.0,320,0.8328,2.8185,97.1815,2,0.7087,moisture generalist
tropical rain forest,1.0,325,0.8111,2.641,97.359,2,0.7058,moisture generalist
tropical rain forest,1.0,330,0.7809,2.4655,97.5345,2,0.703,moisture generalist
tropical rain forest,1.0,335,0.7615,2.3055,97.6945,2,0.7024,moisture generalist
tropical rain forest,1.0,340,0.766,2.1546,97.8454,2,0.7015,moisture generalist
tropical rain forest,1.0,345,0.792,2.0138,97.9862,2,0.699,moisture generalist
tropical rain forest,1.0,350,0.8231,1.8891,98.1109,2,0.6967,moisture generalist
tropical rain forest,1.0,355,0.8411,1.7759,98.2241,2,0.6947,moisture generalist
tropical rain forest,1.0,360,0.8394,1.6692,98.3308,2,0.6928,moisture generalist
tropical rain forest,1.0,365,0.8275,1.5666,98.4334,2,0.6908,moisture generalist
